word,details,definition,grammaticalClass,stage
optimus,"optima, optimum","the best, very good, excellent",adj 1+2,5
oro,"orare, oravi, oratus","beg, beg for",verb 1,31
ostendo,"ostendere, ostendi, ostentus",show,verb 3,9
paene,indecl.,"almost, nearly",adv,12
pareo,"parere, parui + dat",obey,verb 2,23
paro,"parare, paravi, paratus",prepare,verb 1,7
pars,"partis, f.",part,noun 3,18
parvus,"parva, parvum",small,adj 1+2,6
pater,"patris, m.",father,noun 3,1
pauci,"paucae, pauca","few, a few",adj 1+2 plural,17
pax,"pacis, f.",peace,noun 3,10
pecunia,"pecuniae, f.",money,noun 1,4
peior,peius (irregular comparative),worse,adj 3,0
per,+ acc (also used as prefix with verbs),"through, along",prep,6
pereo,"perire, perii","die, perish",verb irreg,16
periculum,"periculi, n.",danger,noun 2,19
persuadeo,"persuadere, persuasi + dat",persuade,verb 2,20
perterritus,"perterrita, perterritum",terrified,adj 1+2,4
pes,"pedis, m.","foot, paw",noun 3,8
pessimus,"pessima, pessimum","the worst, very bad",adj 1+2,20
peto,"petere, petivi, petitus","make for, attack, seek, beg, ask for",verb 3,5
placeo,"placere, placui + dat.",please,verb 2,11
plenus,"plena, plenum",full,adj 1+2,21
plus,pluris (irregular comparative),more,adj 3,21
poena,"poenae, f.",punishment,noun 1,25
poenas do,"dare, dedi, datus","pay the penalty, be punished",other,25
pono,"ponere, posui, positus","put, place, put up",verb 3,16
porta,"portae, f.",gate,noun 1,8
porto,"portare, portavi, portatus",carry,verb 1,3
possum,"posse, potui","can, be able",verb irreg,13
post,+ acc,"after, behind",prep ,9
postea,indecl.,afterwards,adv,18
postquam,indecl.,"after, when",conj,6
postridie,indecl.,on the next day,adv,16
postulo,"postulare, postulavi, postulatus",demand,verb 1,8
praebeo,"praebere, praebui, praebitus",provide,verb 2,26
praemium,"praemii, n.","prize, reward, profit",noun 2,27
primus,"prima, primum",first,adj 1+2,11
princeps,"principis, m.","chief, chieftain, emperor",noun 3,15
pro,+ abl,"in front of, for, in return for (as prefix = forwards)",prep,18
procedo,"procedere, processi","advance, proceed",verb 3,9
progredior,"progredi, progressus sum ",advance,verb 3,34
promitto,"promittere, promisi, promissus",promise,verb 3,11
prope,+ acc,near,prep,7
propter,+ acc,because of,prep,0
proximus,"proxima, proximum","nearest, next to",adj 1+2,27
puella,"puellae, f.",girl,noun 1,5
puer,"pueri, m.",boy,noun 2,8
pugno,"pugnare, pugnavi",fight,verb 1,8
pulcher,"pulchra, pulchrum","beautiful, handsome",adj 1+2,9
puto,"putare, putavi, putatus",think,verb 3,0
quaero,"quaerere, quaesivi, quaesitus","search for, look for, ask",verb 3,4
qualis?,quale,what sort of?,adj 3,27
quam,indecl.,"than, how … ? how … !",adv,10
quamquam,indecl.,although,conj,14
quantus?,"quanta, quantum",how big? how much?,adj 1+2,22
quattuor,indecl.,four,adj (numerical indecl.),20
-que,indecl.,and,conj,14
qui,"quae, quod","who, which",pron,15
quinque,indecl.,five,adj (numerical indecl.),20
quis?,quid,who? what?,pron,4
quo modo?,indecl.,how? in what way?,adv,22
quo?,indecl.,where to?,adv,18
quod,indecl.,because,conj,6
quoque,indecl.,"also, too",conj,2
quot?,indecl.,how many?,adj (indecl.),26
rapio,"rapere, rapui, raptus","seize, grab",verb 3,31
re-,(prefix used with verbs),back,other,0
reddo,"reddere, reddidi, redditus","give back, restore",verb 3,4
redeo,"redire, redii","go back, come back, return",verb irreg,15
refero,"referre, rettuli, relatus","bring/carry back; report, tell",verb irreg,26
regina,"reginae, f.",queen,noun 1,33
regredior,"regredi, regressus sum ","go back, return",verb 3,34
relinquo,"relinquere, reliqui, relictus","leave, leave behind",verb 3,20
res,"rei, f.","thing, business, matter",noun 5,6
resisto,"resistere, restiti + dat",resist,verb 3,17
respondeo,"respondere, respondi, responsus",reply,verb 2,3
rex,"regis, m.",king,noun 3,14
rideo,"ridere, risi","laugh, smile",verb 2,3
rogo,"rogare, rogavi, rogatus","ask, ask for",verb 1,7
Roma,"Romae, f. (Romae: at/in Rome)",Rome,noun 1,0
Romanus,"Romana, Romanum",Roman,adj 1+2,0
sacer,"sacra, sacrum",sacred,adj 1+2,21
saepe,indecl.,often,adv,8
saevus,"saeva, saevum","savage, cruel",adj 1+2,26
saluto,"salutare, salutavi, salutatus",greet,verb 1,2
sanguis,"sanguinis, m.",blood,noun 3,8
scio,"scire, scivi, scitus",know,verb 4,23
scribo,"scribere, scripsi, scriptus",write,verb 3,6
se,sui,"himself, herself, itself, themselves",pron,13
sed,indecl.,but,conj,4
sedeo,"sedere, sedi",sit,verb 2,1
semper,indecl.,always,adv,10
senator,"senatoris, m.",senator,noun 3,11
senex,senis (m.),old; old man,adj 3; noun 3,5
sentio,"sentire, sensi, sensus","feel, notice",verb 4,12
septem,indecl.,seven,adj (numerical indecl.),20
sequor,"sequi, secutus sum",follow,verb 3,34
servo,"servare, servavi, servatus","save, look after",verb 1,10
servus,"servi, m.",slave,noun 2,1
sex,indecl.,six,adj (numerical indecl.),20
si,indecl.,if,conj,26
sic,indecl.,"thus, in this way",adv,28
sicut,indecl.,"just as, like",adv,20
signum,"signi, n.","sign, signal, seal",noun 2,4
silva,"silvae, f.",wood,noun 1,8
"simulac, simulatque",indecl. ,as soon as,conj,16
sine,+ abl,without,prep,34
solus,"sola, solum","alone, lonely, only, on one's own",adj 1+2,10
soror,"sororis, f. ",sister,noun 3,30
specto,"spectare, spectavi, spectatus","look at, watch",verb 1,5
spes,"spei, f.",hope,noun 5,28
statim,indecl.,"at once, immediately",adv,8
sto,"stare, steti",stand,verb 1,5
stultus,"stulta, stultum","stupid, foolish",adj 1+2,11
sub,+ acc/abl,"under, beneath (as prefix = under, up to)",prep,27
subito,indecl.,suddenly,adv,6
sum,"esse, fui",be,verb irreg,1
summus,"summa, summum","highest, greatest, top (of)",adj 1+2,16
supero,"superare, superavi, superatus","overcome, overpower",verb 1,6
surgo,"surgere, surrexi ","get up, stand up, rise",verb 3,3
suus,"sua, suum","his, her, its, their (own)",pron,10
taberna,"tabernae, f.","shop, inn",noun 1,3
taceo,"tacere, tacui, tacitus","be silent, be quiet",verb 2,10
talis,tale,such ,adj 3,23
tam,indecl.,so,adv,20
tamen,indecl.,however,conj,7
tandem,indecl.,"at last, finally",adv,12
tantus,"tanta, tantum","so great, such a great, so much",adj 1+2,27
templum,"templi, n.",temple,noun 2,12
tempus,"temporis, n.",time,noun 3,31
teneo,"tenere, tenui, tentus","hold, keep, possess",verb 2,15
terra,"terrae, f.","ground, land",noun 1,12
